"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"E36004038","Anstey","Males","East Midlands","E07000130","Charnwood","Age0",80.25116,66.63057,28,11.3167,18.76555
"E36004039","Barrow and Sileby West","Males","East Midlands","E07000130","Charnwood","Age0",79.13533,65.34902,28,11.3167,18.76555
"E36004040","Birstall Wanlip","Males","East Midlands","E07000130","Charnwood","Age0",81.88138,68.00616,28,11.3167,18.76555
"E36004041","Birstall Watermead","Males","East Midlands","E07000130","Charnwood","Age0",82.26173,67.29548,28,11.3167,18.76555
"E36004042","East Goscote","Males","East Midlands","E07000130","Charnwood","Age0",79.71113,67.70995,28,11.3167,18.76555
"E36004043","Forest Bradgate","Males","East Midlands","E07000130","Charnwood","Age0",84.54427,73.66915,28,11.3167,18.76555
"E36004044","Loughborough Ashby","Males","East Midlands","E07000130","Charnwood","Age0",74.39777,58.60377,28,11.3167,18.76555
"E36004045","Loughborough Dishley and Ha","Males","East Midlands","E07000130","Charnwood","Age0",79.89741,64.18618,28,11.3167,18.76555
"E36004046","Loughborough Garendon","Males","East Midlands","E07000130","Charnwood","Age0",80.37786,65.38937,28,11.3167,18.76555
"E36004047","Loughborough Hastings","Males","East Midlands","E07000130","Charnwood","Age0",75.03508,54.9036,28,11.3167,18.76555
"E36004048","Loughborough Lemyngton","Males","East Midlands","E07000130","Charnwood","Age0",75.54163,58.07169,28,11.3167,18.76555
"E36004049","Loughborough Nanpantan","Males","East Midlands","E07000130","Charnwood","Age0",84.86342,71.15644,28,11.3167,18.76555
"E36004050","Loughborough Outwoods","Males","East Midlands","E07000130","Charnwood","Age0",84.33225,71.59665,28,11.3167,18.76555
"E36004051","Loughborough Shelthorpe","Males","East Midlands","E07000130","Charnwood","Age0",77.92457,62.45711,28,11.3167,18.76555
"E36004052","Loughborough Southfields","Males","East Midlands","E07000130","Charnwood","Age0",78.58369,63.59948,28,11.3167,18.76555
"E36004053","Loughborough Storer","Males","East Midlands","E07000130","Charnwood","Age0",73.66296,57.70347,28,11.3167,18.76555
"E36004054","Mountsorrel","Males","East Midlands","E07000130","Charnwood","Age0",83.62346,68.38656,28,11.3167,18.76555
"E36004055","Queniborough","Males","East Midlands","E07000130","Charnwood","Age0",84.97966,71.08252,28,11.3167,18.76555
"E36004056","Quorn and Mountsorrel Castl","Males","East Midlands","E07000130","Charnwood","Age0",80.48623,68.8757,28,11.3167,18.76555
"E36004057","Rothley and Thurcaston","Males","East Midlands","E07000130","Charnwood","Age0",82.57302,71.01684,28,11.3167,18.76555
"E36004058","Shepshed East","Males","East Midlands","E07000130","Charnwood","Age0",75.56149,62.28096,28,11.3167,18.76555
"E36004059","Shepshed West","Males","East Midlands","E07000130","Charnwood","Age0",80.71172,65.21257,28,11.3167,18.76555
"E36004060","Sileby","Males","East Midlands","E07000130","Charnwood","Age0",82.74075,66.18696,28,11.3167,18.76555
"E36004061","Syston East","Males","East Midlands","E07000130","Charnwood","Age0",78.64615,64.7556,28,11.3167,18.76555
"E36004062","Syston West","Males","East Midlands","E07000130","Charnwood","Age0",78.44242,64.95917,28,11.3167,18.76555
"E36004063","The Wolds","Males","East Midlands","E07000130","Charnwood","Age0",81.16882,68.9847,28,11.3167,18.76555
"E36004064","Thurmaston","Males","East Midlands","E07000130","Charnwood","Age0",79.48694,62.4625,28,11.3167,18.76555
"E36004065","Wreake Villages","Males","East Midlands","E07000130","Charnwood","Age0",82.62936,70.57591,28,11.3167,18.76555
