"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"E36006365","Bramhall North","Males","North West","E08000007","Stockport","Age0",83.60503,70.81458,21,12.17583,21.84021
"E36006366","Bramhall South","Males","North West","E08000007","Stockport","Age0",84.45486,72.98138,21,12.17583,21.84021
"E36006367","Bredbury and Woodley","Males","North West","E08000007","Stockport","Age0",78.91734,63.13513,21,12.17583,21.84021
"E36006368","Bredbury Green and Romiley","Males","North West","E08000007","Stockport","Age0",79.70864,61.71516,21,12.17583,21.84021
"E36006369","Brinnington and Central","Males","North West","E08000007","Stockport","Age0",72.27903,51.14117,21,12.17583,21.84021
"E36006370","Cheadle and Gatley","Males","North West","E08000007","Stockport","Age0",80.40081,67.1861,21,12.17583,21.84021
"E36006371","Cheadle Hulme North","Males","North West","E08000007","Stockport","Age0",80.67947,65.07219,21,12.17583,21.84021
"E36006372","Cheadle Hulme South","Males","North West","E08000007","Stockport","Age0",82.43666,68.54037,21,12.17583,21.84021
"E36006373","Davenport and Cale Green","Males","North West","E08000007","Stockport","Age0",76.35165,58.56945,21,12.17583,21.84021
"E36006374","Edgeley and Cheadle Heath","Males","North West","E08000007","Stockport","Age0",76.19549,59.95079,21,12.17583,21.84021
"E36006375","Hazel Grove","Males","North West","E08000007","Stockport","Age0",81.0986,66.57017,21,12.17583,21.84021
"E36006376","Heald Green","Males","North West","E08000007","Stockport","Age0",81.99002,65.8189,21,12.17583,21.84021
"E36006377","Heatons North","Males","North West","E08000007","Stockport","Age0",78.68931,65.26294,21,12.17583,21.84021
"E36006378","Heatons South","Males","North West","E08000007","Stockport","Age0",80.91014,66.50501,21,12.17583,21.84021
"E36006379","Manor","Males","North West","E08000007","Stockport","Age0",79.0006,62.06441,21,12.17583,21.84021
"E36006380","Marple North","Males","North West","E08000007","Stockport","Age0",79.22032,68.32488,21,12.17583,21.84021
"E36006381","Marple South","Males","North West","E08000007","Stockport","Age0",78.25279,65.26662,21,12.17583,21.84021
"E36006382","Offerton","Males","North West","E08000007","Stockport","Age0",79.74269,62.8483,21,12.17583,21.84021
"E36006383","Reddish North","Males","North West","E08000007","Stockport","Age0",78.09089,59.90374,21,12.17583,21.84021
"E36006384","Reddish South","Males","North West","E08000007","Stockport","Age0",78.26571,61.24889,21,12.17583,21.84021
"E36006385","Stepping Hill","Males","North West","E08000007","Stockport","Age0",81.28173,67.06349,21,12.17583,21.84021
