"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"W39000858","Bedlinog","Males","Wales","W06000024","Merthyr Tydfil","Age0",77.87869,55.49901,11,3.29739,8.24225
"W39000859","Cyfarthfa","Males","Wales","W06000024","Merthyr Tydfil","Age0",76.83551,57.13857,11,3.29739,8.24225
"W39000860","Dowlais","Males","Wales","W06000024","Merthyr Tydfil","Age0",75.97599,54.98448,11,3.29739,8.24225
"W39000861","Gurnos","Males","Wales","W06000024","Merthyr Tydfil","Age0",75.83346,50.66131,11,3.29739,8.24225
"W39000862","Merthyr Vale","Males","Wales","W06000024","Merthyr Tydfil","Age0",76.59254,53.88465,11,3.29739,8.24225
"W39000863","Park","Males","Wales","W06000024","Merthyr Tydfil","Age0",76.39532,58.34807,11,3.29739,8.24225
"W39000864","Penydarren","Males","Wales","W06000024","Merthyr Tydfil","Age0",76.98578,53.44034,11,3.29739,8.24225
"W39000865","Plymouth","Males","Wales","W06000024","Merthyr Tydfil","Age0",76.60088,56.93705,11,3.29739,8.24225
"W39000866","Town","Males","Wales","W06000024","Merthyr Tydfil","Age0",77.35279,57.61325,11,3.29739,8.24225
"W39000867","Treharris","Males","Wales","W06000024","Merthyr Tydfil","Age0",79.13085,58.90356,11,3.29739,8.24225
"W39000868","Vaynor","Males","Wales","W06000024","Merthyr Tydfil","Age0",76.73367,57.29516,11,3.29739,8.24225
