"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"W39000510","Aberkenfig","Males","Wales","W06000013","Bridgend","Age65",19.82091,6.38642,31,9.25131,8.40257
"W39000511","Bettws","Males","Wales","W06000013","Bridgend","Age65",16.08013,2.80148,31,9.25131,8.40257
"W39000512","Blackmill","Males","Wales","W06000013","Bridgend","Age65",14.15483,5.10501,31,9.25131,8.40257
"W39000514","Brackla|Coity","Males","Wales","W06000013","Bridgend","Age65",18.95781,8.5076,31,9.25131,8.40257
"W39000516","Bryncoch","Males","Wales","W06000013","Bridgend","Age65",16.04483,5.34301,31,9.25131,8.40257
"W39000517","Bryntirion| Laleston and Me","Males","Wales","W06000013","Bridgend","Age65",19.87161,9.47809,31,9.25131,8.40257
"W39000518","Caerau","Males","Wales","W06000013","Bridgend","Age65",17.10234,3.80521,31,9.25131,8.40257
"W39000521","Cornelly","Males","Wales","W06000013","Bridgend","Age65",15.81376,6.52175,31,9.25131,8.40257
"W39000523","Felindre","Males","Wales","W06000013","Bridgend","Age65",18.0993,6.84847,31,9.25131,8.40257
"W39000524","Hendre","Males","Wales","W06000013","Bridgend","Age65",19.07208,8.30996,31,9.25131,8.40257
"W39000525","Litchard","Males","Wales","W06000013","Bridgend","Age65",21.67805,10.48261,31,9.25131,8.40257
"W39000527","Llangewydd and Brynhyfryd","Males","Wales","W06000013","Bridgend","Age65",22.62648,8.65405,31,9.25131,8.40257
"W39000528","Llangynwyd","Males","Wales","W06000013","Bridgend","Age65",20.58445,7.78079,31,9.25131,8.40257
"W39000529","Maesteg East","Males","Wales","W06000013","Bridgend","Age65",17.97444,5.8973,31,9.25131,8.40257
"W39000530","Maesteg West","Males","Wales","W06000013","Bridgend","Age65",16.47799,5.38963,31,9.25131,8.40257
"W39000531","Morfa","Males","Wales","W06000013","Bridgend","Age65",19.66378,8.02184,31,9.25131,8.40257
"W39000532","Nant-y-moel","Males","Wales","W06000013","Bridgend","Age65",17.14114,6.28407,31,9.25131,8.40257
"W39000533","Newcastle","Males","Wales","W06000013","Bridgend","Age65",17.73451,8.51597,31,9.25131,8.40257
"W39000534","Newton","Males","Wales","W06000013","Bridgend","Age65",17.36811,8.06076,31,9.25131,8.40257
"W39000535","Nottage","Males","Wales","W06000013","Bridgend","Age65",18.87669,9.01113,31,9.25131,8.40257
"W39000536","Ogmore Vale","Males","Wales","W06000013","Bridgend","Age65",16.6169,5.32941,31,9.25131,8.40257
"W39000537","Oldcastle","Males","Wales","W06000013","Bridgend","Age65",18.69284,8.55491,31,9.25131,8.40257
"W39000539","Penprysg","Males","Wales","W06000013","Bridgend","Age65",17.99002,7.84292,31,9.25131,8.40257
"W39000540","Pen-y-fai","Males","Wales","W06000013","Bridgend","Age65",18.27439,7.46255,31,9.25131,8.40257
"W39000541","Pontycymmer","Males","Wales","W06000013","Bridgend","Age65",19.40971,5.49562,31,9.25131,8.40257
"W39000542","Porthcawl East Central","Males","Wales","W06000013","Bridgend","Age65",17.20521,7.14342,31,9.25131,8.40257
"W39000543","Porthcawl West Central","Males","Wales","W06000013","Bridgend","Age65",19.05362,8.95645,31,9.25131,8.40257
"W39000544","Pyle","Males","Wales","W06000013","Bridgend","Age65",15.91844,5.68869,31,9.25131,8.40257
"W39000545","Rest Bay","Males","Wales","W06000013","Bridgend","Age65",19.35363,11.20405,31,9.25131,8.40257
"W39000546","Sarn","Males","Wales","W06000013","Bridgend","Age65",15.48012,5.23679,31,9.25131,8.40257
"W39000547","Ynysawdre","Males","Wales","W06000013","Bridgend","Age65",13.37517,4.61119,31,9.25131,8.40257
