"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"W39000571","Adamsdown","Females","Wales","W06000015","Cardiff","Age0",76.44145,52.29252,29,13.12647,22.50583
"W39000572","Butetown","Females","Wales","W06000015","Cardiff","Age0",78.61945,57.55928,29,13.12647,22.50583
"W39000573","Caerau","Females","Wales","W06000015","Cardiff","Age0",79.30225,54.92369,29,13.12647,22.50583
"W39000574","Canton","Females","Wales","W06000015","Cardiff","Age0",81.45733,62.50501,29,13.12647,22.50583
"W39000575","Cathays","Females","Wales","W06000015","Cardiff","Age0",79.97323,60.04908,29,13.12647,22.50583
"W39000576","Creigiau/St. Fagans","Females","Wales","W06000015","Cardiff","Age0",83.44379,69.81189,29,13.12647,22.50583
"W39000577","Cyncoed","Females","Wales","W06000015","Cardiff","Age0",85.5715,71.13067,29,13.12647,22.50583
"W39000578","Ely","Females","Wales","W06000015","Cardiff","Age0",79.04824,53.84113,29,13.12647,22.50583
"W39000579","Fairwater","Females","Wales","W06000015","Cardiff","Age0",82.30871,58.97193,29,13.12647,22.50583
"W39000580","Gabalfa","Females","Wales","W06000015","Cardiff","Age0",82.72316,62.30514,29,13.12647,22.50583
"W39000581","Grangetown","Females","Wales","W06000015","Cardiff","Age0",81.89771,58.24949,29,13.12647,22.50583
"W39000582","Heath","Females","Wales","W06000015","Cardiff","Age0",85.56794,69.24158,29,13.12647,22.50583
"W39000583","Lisvane","Females","Wales","W06000015","Cardiff","Age0",89.56792,74.79835,29,13.12647,22.50583
"W39000584","Llandaff","Females","Wales","W06000015","Cardiff","Age0",86.55163,70.15158,29,13.12647,22.50583
"W39000585","Llandaff North","Females","Wales","W06000015","Cardiff","Age0",83.88906,59.89325,29,13.12647,22.50583
"W39000586","Llanishen","Females","Wales","W06000015","Cardiff","Age0",83.75828,65.43686,29,13.12647,22.50583
"W39000587","Llanrumney","Females","Wales","W06000015","Cardiff","Age0",81.07361,56.85278,29,13.12647,22.50583
"W39000588","Pentwyn","Females","Wales","W06000015","Cardiff","Age0",81.21429,59.71632,29,13.12647,22.50583
"W39000589","Pentyrch","Females","Wales","W06000015","Cardiff","Age0",84.67269,67.87861,29,13.12647,22.50583
"W39000590","Penylan","Females","Wales","W06000015","Cardiff","Age0",85.19002,67.88282,29,13.12647,22.50583
"W39000591","Plasnewydd","Females","Wales","W06000015","Cardiff","Age0",79.24215,58.89701,29,13.12647,22.50583
"W39000592","Pontprennau/Old St. Mellons","Females","Wales","W06000015","Cardiff","Age0",85.80247,67.89621,29,13.12647,22.50583
"W39000593","Radyr","Females","Wales","W06000015","Cardiff","Age0",88.6399,71.71653,29,13.12647,22.50583
"W39000594","Rhiwbina","Females","Wales","W06000015","Cardiff","Age0",88.65538,71.15128,29,13.12647,22.50583
"W39000595","Riverside","Females","Wales","W06000015","Cardiff","Age0",80.49415,59.50663,29,13.12647,22.50583
"W39000596","Rumney","Females","Wales","W06000015","Cardiff","Age0",81.76917,59.85389,29,13.12647,22.50583
"W39000597","Splott","Females","Wales","W06000015","Cardiff","Age0",78.10591,54.50751,29,13.12647,22.50583
"W39000598","Trowbridge","Females","Wales","W06000015","Cardiff","Age0",80.56129,56.11354,29,13.12647,22.50583
"W39000599","Whitchurch and Tongwynlais","Females","Wales","W06000015","Cardiff","Age0",84.36824,66.56696,29,13.12647,22.50583
