"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"E36003359","Aldenham East","Females","East of England","E07000098","Hertsmere","Age0",92.14207,77.54669,15,11.79893,17.18323
"E36003360","Aldenham West","Females","East of England","E07000098","Hertsmere","Age0",87.82798,71.49494,15,11.79893,17.18323
"E36003361","Borehamwood Brookmeadow","Females","East of England","E07000098","Hertsmere","Age0",82.93468,64.41325,15,11.79893,17.18323
"E36003362","Borehamwood Cowley Hill","Females","East of England","E07000098","Hertsmere","Age0",80.63853,60.36346,15,11.79893,17.18323
"E36003363","Borehamwood Hillside","Females","East of England","E07000098","Hertsmere","Age0",80.34314,63.77393,15,11.79893,17.18323
"E36003364","Borehamwood Kenilworth","Females","East of England","E07000098","Hertsmere","Age0",83.49405,65.18406,15,11.79893,17.18323
"E36003365","Bushey Heath","Females","East of England","E07000098","Hertsmere","Age0",82.78984,70.23707,15,11.79893,17.18323
"E36003366","Bushey North","Females","East of England","E07000098","Hertsmere","Age0",84.47722,69.63953,15,11.79893,17.18323
"E36003367","Bushey Park","Females","East of England","E07000098","Hertsmere","Age0",87.33264,70.01768,15,11.79893,17.18323
"E36003368","Bushey St James","Females","East of England","E07000098","Hertsmere","Age0",85.27639,68.93413,15,11.79893,17.18323
"E36003369","Elstree","Females","East of England","E07000098","Hertsmere","Age0",81.84397,68.43446,15,11.79893,17.18323
"E36003370","Potters Bar Furzefield","Females","East of England","E07000098","Hertsmere","Age0",86.69307,68.60988,15,11.79893,17.18323
"E36003371","Potters Bar Oakmere","Females","East of England","E07000098","Hertsmere","Age0",84.05645,67.02522,15,11.79893,17.18323
"E36003372","Potters Bar Parkfield","Females","East of England","E07000098","Hertsmere","Age0",85.99983,71.41339,15,11.79893,17.18323
"E36003373","Shenley","Females","East of England","E07000098","Hertsmere","Age0",82.16025,68.37531,15,11.79893,17.18323
