LA_code,LA_name,LSOA_code,LSOA_name,house_price
W06000015,Cardiff,W01001805,Cardiff 015C,144500
W06000015,Cardiff,W01001806,Cardiff 015D,112500
W06000015,Cardiff,W01001807,Cardiff 007B,125000
W06000015,Cardiff,W01001808,Cardiff 007C,134000
W06000015,Cardiff,W01001811,Cardiff 009A,113000
W06000015,Cardiff,W01001817,Cardiff 009C,171000
W06000015,Cardiff,W01001818,Cardiff 009D,132000
W06000015,Cardiff,W01001815,Cardiff 008D,184000
W06000015,Cardiff,W01001816,Cardiff 009B,124498
W06000015,Cardiff,W01001810,Cardiff 017B,123000
W06000015,Cardiff,W01001812,Cardiff 017C,127500
W06000015,Cardiff,W01001809,Cardiff 017A,170000
W06000015,Cardiff,W01001813,Cardiff 017D,138995
W06000015,Cardiff,W01001814,Cardiff 017E,116000
W06000015,Cardiff,W01001820,Cardiff 006A,197000
W06000015,Cardiff,W01001819,Cardiff 014D,389995
W06000015,Cardiff,W01001822,Cardiff 029A,230500
W06000015,Cardiff,W01001827,Cardiff 024C,390000
W06000015,Cardiff,W01001821,Cardiff 024A,175000
W06000015,Cardiff,W01001823,Cardiff 029B,392475
W06000015,Cardiff,W01001824,Cardiff 029C,275000
W06000015,Cardiff,W01001825,Cardiff 029D,221000
W06000015,Cardiff,W01001826,Cardiff 024B,293000
W06000015,Cardiff,W01001828,Cardiff 024D,241150
W06000015,Cardiff,W01001830,Cardiff 033B,109000
W06000015,Cardiff,W01001832,Cardiff 033C,187000
W06000015,Cardiff,W01001835,Cardiff 033F,125500
W06000015,Cardiff,W01001839,Cardiff 030E,205000
W06000015,Cardiff,W01001833,Cardiff 033D,295000
W06000015,Cardiff,W01001829,Cardiff 033A,193250
W06000015,Cardiff,W01001831,Cardiff 030A,190000
W06000015,Cardiff,W01001834,Cardiff 033E,180500
W06000015,Cardiff,W01001836,Cardiff 030B,307500
W06000015,Cardiff,W01001837,Cardiff 030C,171000
W06000015,Cardiff,W01001838,Cardiff 030D,220000
W06000015,Cardiff,W01001840,Cardiff 007D,212500
W06000015,Cardiff,W01001843,Cardiff 003C,231000
W06000015,Cardiff,W01001841,Cardiff 003A,290000
W06000015,Cardiff,W01001844,Cardiff 003D,190000
W06000015,Cardiff,W01001842,Cardiff 003B,215000
W06000015,Cardiff,W01001954,Cardiff 006F,342500
W06000015,Cardiff,W01001847,Cardiff 006D,300000
W06000015,Cardiff,W01001846,Cardiff 006C,302500
W06000015,Cardiff,W01001854,Cardiff 004D,163000
W06000015,Cardiff,W01001848,Cardiff 012B,281750
W06000015,Cardiff,W01001852,Cardiff 004B,355250
W06000015,Cardiff,W01001853,Cardiff 004C,270000
W06000015,Cardiff,W01001849,Cardiff 004A,320000
W06000015,Cardiff,W01001850,Cardiff 012C,340000
W06000015,Cardiff,W01001851,Cardiff 012D,300000
W06000015,Cardiff,W01001856,Cardiff 042B,145000
W06000015,Cardiff,W01001860,Cardiff 034C,239625
W06000015,Cardiff,W01001857,Cardiff 042C,152500
W06000015,Cardiff,W01001862,Cardiff 042D,220000
W06000015,Cardiff,W01001855,Cardiff 042A,160000
W06000015,Cardiff,W01001858,Cardiff 034A,197475
W06000015,Cardiff,W01001859,Cardiff 034B,275000
W06000015,Cardiff,W01001861,Cardiff 034D,227500
W06000015,Cardiff,W01001866,Cardiff 016A,135000
W06000015,Cardiff,W01001868,Cardiff 022D,150000
W06000015,Cardiff,W01001864,Cardiff 022B,197000
W06000015,Cardiff,W01001863,Cardiff 022A,195000
W06000015,Cardiff,W01001865,Cardiff 022C,221500
W06000015,Cardiff,W01001867,Cardiff 016B,139000
W06000015,Cardiff,W01001872,Cardiff 038B,156375
W06000015,Cardiff,W01001873,Cardiff 038C,139250
W06000015,Cardiff,W01001871,Cardiff 037B,125000
W06000015,Cardiff,W01001869,Cardiff 038A,164000
W06000015,Cardiff,W01001874,Cardiff 038D,115000
W06000015,Cardiff,W01001870,Cardiff 037A,162000
W06000015,Cardiff,W01001876,Cardiff 037D,125000
W06000015,Cardiff,W01001875,Cardiff 037C,131000
W06000015,Cardiff,W01001884,Cardiff 013D,NA
W06000015,Cardiff,W01001883,Cardiff 016C,131500
