"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"W39000858","Bedlinog","Females","Wales","W06000024","Merthyr Tydfil","Age65",19.16308,6.31847,11,5.23713,3.25557
"W39000859","Cyfarthfa","Females","Wales","W06000024","Merthyr Tydfil","Age65",18.80016,6.57566,11,5.23713,3.25557
"W39000860","Dowlais","Females","Wales","W06000024","Merthyr Tydfil","Age65",19.56153,5.66244,11,5.23713,3.25557
"W39000861","Gurnos","Females","Wales","W06000024","Merthyr Tydfil","Age65",17.33405,3.94751,11,5.23713,3.25557
"W39000862","Merthyr Vale","Females","Wales","W06000024","Merthyr Tydfil","Age65",22.57118,6.06997,11,5.23713,3.25557
"W39000863","Park","Females","Wales","W06000024","Merthyr Tydfil","Age65",17.59974,6.25369,11,5.23713,3.25557
"W39000864","Penydarren","Females","Wales","W06000024","Merthyr Tydfil","Age65",20.94487,4.67591,11,5.23713,3.25557
"W39000865","Plymouth","Females","Wales","W06000024","Merthyr Tydfil","Age65",18.75942,5.66311,11,5.23713,3.25557
"W39000866","Town","Females","Wales","W06000024","Merthyr Tydfil","Age65",20.36172,6.54485,11,5.23713,3.25557
"W39000867","Treharris","Females","Wales","W06000024","Merthyr Tydfil","Age65",19.50628,6.35511,11,5.23713,3.25557
"W39000868","Vaynor","Females","Wales","W06000024","Merthyr Tydfil","Age65",21.99989,7.20308,11,5.23713,3.25557
