"WD13CD","WD13NM","Sex","Region","LAD11CD","LAD11NM","Age","LE","HLE","NumberofWardsinlocalareas","InequalityinLE","InequalityinHLE"
"E36003021","Ashchurch with Walton Cardi","Females","South West","E07000083","Tewkesbury","Age65",26.71098,12.98408,18,8.51199,8.87557
"E36003022","Badgeworth","Females","South West","E07000083","Tewkesbury","Age65",18.83212,9.46354,18,8.51199,8.87557
"E36003023","Brockworth","Females","South West","E07000083","Tewkesbury","Age65",18.19899,8.25312,18,8.51199,8.87557
"E36003024","Churchdown Brookfield","Females","South West","E07000083","Tewkesbury","Age65",22.40533,12.50086,18,8.51199,8.87557
"E36003025","Churchdown St John's","Females","South West","E07000083","Tewkesbury","Age65",24.67403,11.73084,18,8.51199,8.87557
"E36003026","Cleeve Grange","Females","South West","E07000083","Tewkesbury","Age65",25.32842,13.00328,18,8.51199,8.87557
"E36003027","Cleeve Hill","Females","South West","E07000083","Tewkesbury","Age65",22.72126,13.10032,18,8.51199,8.87557
"E36003028","Cleeve St Michael's","Females","South West","E07000083","Tewkesbury","Age65",23.99385,11.23595,18,8.51199,8.87557
"E36003029","Cleeve West","Females","South West","E07000083","Tewkesbury","Age65",18.41754,9.86294,18,8.51199,8.87557
"E36003030","Coombe Hill","Females","South West","E07000083","Tewkesbury","Age65",20.64661,10.98838,18,8.51199,8.87557
"E36003031","Highnam with Haw Bridge","Females","South West","E07000083","Tewkesbury","Age65",21.34541,11.37813,18,8.51199,8.87557
"E36003033","Innsworth with Down Hatherl","Females","South West","E07000083","Tewkesbury","Age65",23.23549,11.48288,18,8.51199,8.87557
"E36003034","Isbourne","Females","South West","E07000083","Tewkesbury","Age65",26.22334,17.12869,18,8.51199,8.87557
"E36003035","Northway","Females","South West","E07000083","Tewkesbury","Age65",18.33288,8.41874,18,8.51199,8.87557
"E36003037","Shurdington","Females","South West","E07000083","Tewkesbury","Age65",22.12537,10.81017,18,8.51199,8.87557
"E36003039","Tewkesbury Prior's Park","Females","South West","E07000083","Tewkesbury","Age65",23.01685,10.22387,18,8.51199,8.87557
"E36003040","Tewkesbury Town with Mitton","Females","South West","E07000083","Tewkesbury","Age65",26.48052,13.47164,18,8.51199,8.87557
"E36003042","Winchcombe","Females","South West","E07000083","Tewkesbury","Age65",26.04472,13.97131,18,8.51199,8.87557
